latitude,longitude
-37.817928,144.967016
-38.302740,144.651440
-38.301780,144.651540
-38.301570,144.651890
-38.301590,144.652970
-38.302330,144.652920
-38.302890,144.653680
-38.303790,144.653860
-38.304440,144.654720
-38.305160,144.655230
-38.305270,144.657050
-38.305920,144.658230
-38.306130,144.659340
-38.306670,144.659730
-38.307340,144.662160
-38.307150,144.665410
-38.307900,144.666240
-38.308120,144.666920
-38.308040,144.667980
-38.306820,144.670990
-38.305590,144.675800
-38.305180,144.679850
-38.305610,144.681760
-38.306970,144.684710
-38.309090,144.687840
-38.311130,144.692940
-38.312590,144.698420
-38.313410,144.700050
-38.313600,144.700900
-38.314840,144.702930
-38.315240,144.704850
-38.315800,144.705460
-38.316640,144.705210
-38.317800,144.707340
-38.318600,144.711740
-38.318810,144.713640
-38.318810,144.715590
-38.318480,144.716640
-38.317650,144.717810
-38.317750,144.718910
-38.317910,144.719240
-38.318300,144.719500
-38.319470,144.720900
-38.319820,144.722130
-38.320610,144.723120
-38.320850,144.725220
-38.321700,144.729910
-38.322550,144.733580
-38.322480,144.734140
-38.322810,144.734440
-38.322950,144.735070
-38.323620,144.735270
-38.323940,144.735740
-38.324480,144.738360
-38.324610,144.739010
-38.325060,144.739180
-38.325760,144.739180
-38.326550,144.738870
-38.327320,144.739990
-38.327565,144.739748
-38.327675,144.739697
-38.329400,144.740000
-38.329830,144.739700
-38.330780,144.739620
-38.332067,144.740208
-38.333248,144.740997
-38.333260,144.741595
-38.334045,144.742498
-38.335089,144.742904
-38.335970,144.744090
-38.336330,144.744940
-38.335860,144.745570
-38.335960,144.745690
-38.336393,144.745628
-38.336460,144.745590
-38.337140,144.744580
-38.337930,144.744340
-38.338250,144.744470
-38.338300,144.744310
-38.338920,144.744700
-38.340250,144.745930
-38.340580,144.746900
-38.342240,144.749390
-38.343020,144.751310
-38.344110,144.754980
-38.344720,144.756490
-38.344890,144.758230
-38.345680,144.759250
-38.346010,144.759300
-38.346500,144.759090
-38.347040,144.759700
-38.347590,144.760910
-38.348000,144.762740
-38.348340,144.763530
-38.348700,144.763680
-38.349030,144.763570
-38.350220,144.762460
-38.351070,144.762270
-38.351940,144.762340
-38.353490,144.763160
-38.354280,144.764260
-38.355380,144.765180
-38.356390,144.766730
-38.356630,144.767610
-38.357630,144.769780
-38.358430,144.772560
-38.359440,144.774460
-38.359670,144.776100
-38.359960,144.776970
-38.360020,144.778040
-38.360310,144.778530
-38.360380,144.779590
-38.360920,144.781140
-38.360900,144.782200
-38.361960,144.785410
-38.362750,144.788650
-38.362850,144.789820
-38.363140,144.790570
-38.363240,144.791580
-38.363550,144.792530
-38.364310,144.796400
-38.364680,144.797410
-38.364720,144.798200
-38.365350,144.800370
-38.365910,144.803450
-38.366530,144.807020
-38.366750,144.809050
-38.366750,144.811000
-38.366980,144.811470
-38.367620,144.811860
-38.367850,144.812180
-38.368680,144.815580
-38.368910,144.820120
-38.368760,144.821120
-38.368980,144.821660
-38.368920,144.822280
-38.369360,144.823270
-38.370200,144.828520
-38.370060,144.829930
-38.370250,144.831640
-38.370200,144.834610
-38.370410,144.836720
-38.370130,144.839960
-38.369480,144.845090
-38.368970,144.847600
-38.368750,144.850930
-38.368140,144.853860
-38.367690,144.855270
-38.367050,144.859630
-38.366030,144.863220
-38.365390,144.864960
-38.365160,144.866280
-38.364300,144.868480
-38.363180,144.872140
-38.362600,144.874620
-38.362470,144.875780
-38.361470,144.878860
-38.360770,144.881790
-38.360080,144.883660
-38.359570,144.885820
-38.359310,144.887060
-38.358700,144.888260
-38.358680,144.888870
-38.357500,144.892290
-38.357300,144.893490
-38.356930,144.894230
-38.355310,144.900610
-38.354770,144.901460
-38.354650,144.902080
-38.354280,144.902810
-38.353900,144.904570
-38.352950,144.906170
-38.352100,144.911850
-38.350070,144.920630
-38.349740,144.921300
-38.349260,144.923170
-38.348550,144.924500
-38.344880,144.933950
-38.343580,144.937880
-38.342360,144.940470
-38.341320,144.943750
-38.340980,144.944240
-38.340870,144.945310
-38.340090,144.946630
-38.339150,144.949280
-38.335520,144.957720
-38.331500,144.965800
-38.330340,144.968500
-38.329000,144.970810
-38.327920,144.973080
-38.326970,144.975000
-38.325280,144.977410
-38.324360,144.979160
-38.322560,144.981180
-38.321920,144.982450
-38.318370,144.986630
-38.316080,144.988890
-38.313077,144.991362
-38.312970,144.991450
-38.310020,144.993150
-38.307710,144.994010
-38.305610,144.994430
-38.304750,144.994330
-38.304470,144.994330
-38.304150,144.993940
-38.304200,144.993670
-38.303950,144.993440
-38.303880,144.993120
-38.302780,144.991980
-38.302710,144.991650
-38.302160,144.991160
-38.301860,144.991090
-38.301600,144.990670
-38.301100,144.990670
-38.300530,144.990180
-38.300320,144.989820
-38.300100,144.988560
-38.299770,144.987701
-38.298690,144.984890
-38.298570,144.983940
-38.297470,144.982920
-38.297160,144.982790
-38.296780,144.982900
-38.296670,144.982980
-38.296410,144.982830
-38.296180,144.982970
-38.295890,144.983850
-38.295360,144.984390
-38.295010,144.984290
-38.294870,144.984520
-38.294440,144.984530
-38.294190,144.985000
-38.293820,144.984880
-38.293740,144.985070
-38.293430,144.985070
-38.293010,144.985640
-38.292170,144.986000
-38.291930,144.986630
-38.291250,144.986730
-38.291110,144.986930
-38.290770,144.986980
-38.290130,144.987810
-38.289240,144.988550
-38.288600,144.988580
-38.288260,144.989140
-38.287910,144.989240
-38.287600,144.989590
-38.287290,144.990380
-38.286900,144.990540
-38.286910,144.990860
-38.286640,144.991210
-38.286400,144.991220
-38.286010,144.991650
-38.284820,144.992250
-38.284350,144.992900
-38.282910,144.993440
-38.282140,144.995030
-38.281960,144.994890
-38.281150,144.995300
-38.280790,144.996050
-38.280430,144.996120
-38.280010,144.996520
-38.279610,144.997020
-38.279520,144.997430
-38.278750,144.997980
-38.277840,144.999360
-38.277140,145.000000
-38.276840,145.000050
-38.276660,144.999860
-38.275970,144.999970
-38.275870,145.000550
-38.275500,145.000570
-38.275040,145.001120
-38.274260,145.001090
-38.273560,145.000800
-38.273180,145.001120
-38.272600,145.000970
-38.271950,145.001220
-38.271525,145.001145
-38.271160,145.001080
-38.270870,145.001310
-38.270520,145.001810
-38.270300,145.003130
-38.270820,145.004010
-38.270750,145.005430
-38.271040,145.006350
-38.270140,145.008050
-38.265240,145.014170
-38.264690,145.015040
-38.264740,145.015370
-38.264580,145.015530
-38.264380,145.015400
-38.263340,145.016090
-38.259700,145.019880
-38.258198,145.021155
-38.257180,145.022020
-38.253450,145.025530
-38.252620,145.025730
-38.251730,145.026260
-38.251080,145.026120
-38.250770,145.026660
-38.250280,145.027090
-38.248900,145.027700
-38.247710,145.027700
-38.246740,145.028270
-38.246150,145.028100
-38.245540,145.028400
-38.245196,145.028429
-38.244950,145.028450
-38.244600,145.027850
-38.244320,145.028080
-38.243820,145.028100
-38.242810,145.027410
-38.240950,145.027750
-38.239220,145.028590
-38.238090,145.028550
-38.236630,145.027470
-38.235470,145.027720
-38.235100,145.027610
-38.234910,145.027260
-38.234910,145.026310
-38.234290,145.025690
-38.233670,145.026370
-38.232780,145.026710
-38.231910,145.026550
-38.230900,145.026160
-38.230640,145.025780
-38.229600,145.025510
-38.228630,145.026100
-38.228270,145.026560
-38.227750,145.026560
-38.227250,145.026100
-38.226970,145.025480
-38.226470,145.025540
-38.226940,145.027040
-38.226760,145.028040
-38.226433,145.028852
-38.226410,145.028910
-38.223570,145.031690
-38.221440,145.031830
-38.220040,145.031480
-38.219350,145.031840
-38.218540,145.031790
-38.218180,145.032260
-38.217930,145.032990
-38.216980,145.033540
-38.216710,145.033510
-38.215500,145.032710
-38.213260,145.032600
-38.212670,145.032420
-38.212530,145.033140
-38.212130,145.033870
-38.212220,145.033930
-38.212560,145.033430
-38.212800,145.033890
-38.213000,145.033720
-38.213767,145.034165
-38.213880,145.034230
-38.214290,145.033980
-38.214570,145.034030
-38.214940,145.035420
-38.214960,145.036520
-38.214630,145.038590
-38.214200,145.039790
-38.213260,145.040720
-38.213060,145.041160
-38.213100,145.042010
-38.213257,145.042275
-38.213574,145.042389
-38.213540,145.042710
-38.213490,145.042890
-38.213760,145.043720
-38.213304,145.044889
-38.210670,145.049050
-38.209220,145.050470
-38.207390,145.051850
-38.207050,145.052560
-38.206300,145.053150
-38.206270,145.054010
-38.203730,145.057040
-38.202330,145.059260
-38.201420,145.061310
-38.200910,145.061980
-38.199200,145.063100
-38.199050,145.063400
-38.198230,145.063830
-38.197680,145.065040
-38.194070,145.067530
-38.193430,145.067730
-38.193344,145.067940
-38.193210,145.068270
-38.193124,145.068336
-38.191740,145.069410
-38.187820,145.071790
-38.185170,145.072930
-38.185110,145.072940
-38.183340,145.073240
