response.time.s,throughput,mips
0.30,7.10,23.45
0.48,16.00,33.20
3.32,1.40,0.42
0.13,12.00,95.11
0.11,1.90,17.76
0.11,1.70,15.80
0.26,1.30,5.10
0.14,2.80,20.48
0.10,15.30,149.09
0.09,13.50,144.59
0.13,7.70,57.89
0.22,10.90,49.21
0.11,16.10,141.23
0.27,4.50,16.68
0.13,12.20,91.00
0.07,6.00,88.89
0.13,2.30,17.48
0.21,1.60,7.50
1.36,10.40,7.65
0.11,0.70,6.48
0.05,13.30,266.00
1.07,3.00,2.81
0.13,14.30,108.33
0.27,10.20,38.48
0.12,2.10,16.91
0.41,5.00,12.25
0.26,1.20,4.63
0.41,15.20,37.25
0.17,3.80,21.97
0.32,1.20,3.74
0.13,12.40,96.64
0.15,1.10,7.35
0.67,7.90,11.75
0.06,8.80,147.70
0.50,19.70,39.48
1.33,8.30,6.22
0.23,10.10,43.96
0.27,0.90,3.37
0.05,10.60,214.44
0.06,4.30,66.19
0.11,16.20,151.76
0.58,4.40,7.58
0.20,1.40,6.83
0.29,14.50,49.24
0.11,1.70,15.01
0.07,4.40,63.85
0.18,2.70,14.62
0.13,4.80,36.57
0.14,4.40,30.88
0.14,7.50,52.90
0.27,3.90,14.49
0.23,21.20,93.39
0.51,4.70,9.19
0.17,0.50,2.89
0.65,8.00,12.40
0.30,7.90,26.32
1.03,8.40,8.12
0.52,9.20,17.86
0.43,3.30,7.67
0.21,3.50,17.05
0.26,6.90,26.29
0.45,1.80,3.99
0.21,13.50,65.22
0.12,12.90,112.17
0.18,12.10,65.76
0.12,1.20,10.06
0.17,1.20,7.20
0.24,7.70,31.88
0.30,1.20,3.98
0.30,1.40,4.66
0.23,14.50,63.71
0.62,7.10,11.49
0.15,6.90,45.60
0.12,22.30,193.91
0.04,13.10,308.24
0.18,1.10,6.15
0.18,2.60,14.50
3.61,1.40,0.39
0.12,14.60,118.70
0.20,15.10,76.07
0.27,1.50,5.65
0.13,7.80,59.85
0.10,36.30,363.00
0.20,9.70,49.49
0.05,20.30,429.45
0.43,9.40,21.79
0.04,3.60,83.72
0.22,15.90,73.75
0.27,2.70,9.96
0.22,3.60,16.71
0.11,31.30,292.52
0.12,3.90,31.97
0.31,2.10,6.82
0.50,4.80,9.63
0.28,3.30,11.63
0.14,3.10,22.64
0.21,15.70,74.76
0.09,24.70,269.06
1.31,3.50,2.66
0.33,4.40,13.15
0.15,10.20,69.82
0.27,1.40,5.25
0.31,12.20,39.95
2.56,1.20,0.47
0.39,2.00,5.15
0.24,9.00,37.60
0.15,23.90,155.19
0.30,1.90,6.39
0.54,4.40,8.11
0.08,1.70,20.40
